Country name,year,Happiness Rating,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Moldova,2018,5.682277203,9.422848701,0.89207989,64.09999847,0.823824346,-0.087572187,0.928719878
Moldova,2019,5.803450584,9.47502327,0.809167087,64.5,0.783664584,-0.09557578,0.883822501
Moldova,2020,5.811628819,9.409337044,0.874061763,64.90000153,0.859083235,-0.057646256,0.941438973
Moldova,2021,5.959048748,9.547471046,0.879554033,65.30000305,0.832602262,-0.095501058,0.875060678
Moldova,2022,5.686611652,9.540007591,0.816732645,65.69999695,0.828515828,-0.087219432,0.884788811
Senegal,2018,4.769377232,8.122329712,0.739354789,59.09999847,0.629223466,-0.076827593,0.80477947
Senegal,2019,5.488736629,8.1404562,0.687614083,59.40000153,0.758841753,-0.02160956,0.79567343
Senegal,2020,4.756773472,8.12678051,0.620670676,59.70000076,0.797190309,-0.048871942,0.855092525
Senegal,2021,4.902830601,8.159204483,0.645179272,60,0.758525133,0.02992768,0.82134825
Senegal,2022,4.90681982,8.180175781,0.609188676,60.29999924,0.758471966,0.051875819,0.854231179
Morocco,2018,4.896791935,8.996167183,0.553759754,63.59999847,0.773180425,-0.243001193,0.843172729
Morocco,2019,5.056751728,9.014033318,0.534804046,63.70000076,0.756747842,-0.253495485,0.756867409
Morocco,2020,4.80261755,8.928771973,0.552520096,63.79999924,0.818995237,-0.235434562,0.802740276
Morocco,2021,5.326248646,8.994469643,0.504563928,63.90000153,0.761806488,-0.201621071,0.817366838
Morocco,2022,4.596093178,8.995898247,0.563577652,64,0.794705212,-0.25410822,0.802137673
Mexico,2018,6.549578667,9.917302132,0.858068883,65.80000305,0.816200495,-0.183739126,0.808638096
Mexico,2019,6.431945324,9.906707764,0.851685822,65.80000305,0.903384447,-0.14559029,0.808537602
Mexico,2020,5.964221001,9.816184998,0.778816223,65.80000305,0.873346984,-0.125294715,0.778165877
Mexico,2021,5.99075079,9.856716156,0.778605103,65.80000305,0.837159336,-0.034609362,0.745186806
Mexico,2022,7.038368702,9.876176834,0.858360887,65.80000305,0.860889137,-0.120741829,0.780077338
United States,2018,6.882684708,11.02444267,0.903856039,66.22499847,0.824606657,0.111657284,0.709928274
United States,2019,6.943701267,11.04257393,0.916691124,66.09999847,0.836139023,0.139838308,0.706715524
United States,2020,7.028088093,11.0048933,0.937369823,65.97499847,0.850447297,0.029316831,0.678124607
United States,2021,6.959087849,11.06146431,0.920008719,65.84999847,0.815734804,0.190033197,0.686591566
United States,2022,6.692790031,11.07859612,0.900261819,65.72499847,0.735639811,0.190581053,0.701127529
Croatia,2018,5.536271095,10.24796391,0.909806848,68.42500305,0.690855622,-0.156301752,0.925408304
Croatia,2019,5.625743866,10.28714275,0.935988724,68.59999847,0.739300609,-0.143352598,0.931614637
Croatia,2020,6.507992268,10.20176506,0.922913492,68.77500153,0.836657643,-0.069338493,0.960939288
Croatia,2021,6.286790371,10.36204529,0.917741537,68.94999695,0.841837883,0.003264118,0.933650374
Croatia,2022,5.578691483,10.4582634,0.90998435,69.125,0.593485951,-0.212666839,0.87508148
Mauritius,2018,5.88174057,10.04427052,0.90884155,63.92499924,0.866928101,-0.079335824,0.78524971
Mauritius,2019,6.241165161,10.07245255,0.913134277,63.90000153,0.893157899,-0.058579594,0.81020081
Mauritius,2020,6.015300274,9.914636612,0.892565966,63.875,0.842598081,-0.036158979,0.771790087
